时间（HH:mm:dd）,成交量（股）,成交价,交易方向（0：中性盘，1：买入，2：卖出）,数据归属日期（yyyy-MM-dd）
15:00:00,228600,63.42,1,2024-11-29
14:56:03,42936,63.44,1,2024-11-29
14:39:57,47200,63.52,1,2024-11-29
14:16:42,42106,63.5,2,2024-11-29
14:15:21,65738,63.23,1,2024-11-29
14:15:18,46000,63.12,2,2024-11-29
14:04:30,40200,63.58,1,2024-11-29
14:03:15,48482,63.61,1,2024-11-29
13:22:15,69700,64.13,1,2024-11-29
13:19:33,43400,64.24,1,2024-11-29
13:11:54,85200,65.69,1,2024-11-29
13:11:12,49790,65.7,2,2024-11-29
13:11:03,110744,65.51,1,2024-11-29
13:11:00,52078,65.0,1,2024-11-29
13:10:57,84500,64.76,1,2024-11-29
13:10:54,90500,64.71,2,2024-11-29
13:10:15,45400,65.38,2,2024-11-29
13:10:12,61100,65.48,2,2024-11-29
13:09:54,46800,66.0,2,2024-11-29
13:09:48,69595,66.05,1,2024-11-29
13:09:06,42700,65.41,1,2024-11-29
13:09:03,82500,65.36,0,2024-11-29
13:08:48,91619,65.26,1,2024-11-29
13:08:45,94500,65.11,1,2024-11-29
13:08:09,45800,65.53,2,2024-11-29
13:08:06,41400,65.58,2,2024-11-29
13:07:39,43000,66.0,1,2024-11-29
13:07:36,40500,65.94,2,2024-11-29
13:07:33,43951,65.95,2,2024-11-29
13:07:24,63949,66.06,1,2024-11-29
13:07:15,41400,66.06,1,2024-11-29
13:07:12,41600,65.82,2,2024-11-29
13:07:09,143293,65.82,1,2024-11-29
13:07:06,103400,65.48,2,2024-11-29
13:07:03,41700,65.48,2,2024-11-29
13:07:00,65300,65.5,1,2024-11-29
13:06:57,71800,65.5,2,2024-11-29
13:06:30,151339,65.08,1,2024-11-29
13:06:24,50000,64.71,1,2024-11-29
13:06:15,46400,64.55,1,2024-11-29
13:06:12,51800,64.4,1,2024-11-29
13:06:03,64800,64.59,1,2024-11-29
13:05:45,215209,64.51,1,2024-11-29
13:05:42,96800,63.84,2,2024-11-29
13:05:36,153213,63.86,1,2024-11-29
13:05:33,41026,63.8,2,2024-11-29
13:05:30,44100,63.8,2,2024-11-29
13:04:54,123000,63.86,0,2024-11-29
13:04:51,54800,63.81,1,2024-11-29
13:04:24,86000,63.65,1,2024-11-29
13:04:21,45300,63.42,1,2024-11-29
13:04:03,92000,63.37,1,2024-11-29
13:03:09,73901,63.17,1,2024-11-29
13:03:06,41900,63.0,1,2024-11-29
13:03:03,53300,62.89,1,2024-11-29
13:02:27,72800,62.85,1,2024-11-29
13:01:54,89500,62.7,0,2024-11-29
13:01:42,74900,62.58,1,2024-11-29
13:00:00,87900,61.67,1,2024-11-29
11:10:03,53600,60.48,1,2024-11-29
10:23:39,44300,60.92,1,2024-11-29
10:16:12,44600,60.28,1,2024-11-29
09:53:03,50682,59.95,2,2024-11-29
09:47:27,49400,60.1,1,2024-11-29
09:30:15,56600,60.18,1,2024-11-29
09:30:00,53900,60.11,2,2024-11-29
